[     459ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[     547ms] [LOG] [HMR] connected @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_115brz8._.js:2477
[   30933ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed:  @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   31946ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   32976ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   33989ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   34991ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   35996ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   41004ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   46022ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   51038ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   56083ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   61147ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   66206ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
[   71460ms] [ERROR] WebSocket connection to 'ws://localhost:3001/_next/webpack-hmr?id=EHPAKe6ciFVivhO8w6Z0D' failed: Error in connection establishment: net::ERR_CONNECTION_REFUSED @ http://localhost:3001/_next/static/chunks/node_modules_next_dist_client_0fhqo1d._.js:13322
